file,classification,title,canonical_url,h1_count,article_element_count,stylesheet_references,analytics_presence,header_variant,navigation_variant,footer_variant,jsonld_types,obvious_malformed_html,literal_markdown_in_rendered_content,relative_link_style,phase1_included
404.html,utility/legal,404 – Page Not Found,,1,0,,False,missing,missing,missing,,True,False,root_relative,False
emergency-prep/72-hour-survival-basics.html,article,72-Hour Survival Basics: What You Need Ready Before Anything Happens,https://homeprotectionbasics.com/emergency-prep/72-hour-survival-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/after-disaster-reentry-basics.html,article,After-Disaster Reentry Basics: How to Return Home Safely,https://homeprotectionbasics.com/emergency-prep/after-disaster-reentry-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/avoiding-common-prep-mistakes.html,article,Avoiding Common Prep Mistakes: What Homeowners Get Wrong,https://homeprotectionbasics.com/emergency-prep/avoiding-common-prep-mistakes.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/backup-lighting-options.html,article,Backup Lighting Options: Staying Lit During Outages,https://homeprotectionbasics.com/emergency-prep/backup-lighting-options.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/backyard-fire-shelter-basics.html,article,Backyard Fire Shelter Basics: Buying Time in a Fast-Moving Fire,https://homeprotectionbasics.com/emergency-prep/backyard-fire-shelter-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/backyard-water-collection-basics.html,article,Backyard Water Collection Basics: Simple Ways to Capture Usable Water,https://homeprotectionbasics.com/emergency-prep/backyard-water-collection-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/basic-home-emergency-kit-list.html,article,Basic Home Emergency Kit List: The Gear Every Household Needs,https://homeprotectionbasics.com/emergency-prep/basic-home-emergency-kit-list.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/bug-in-vs-bug-out-basics.html,article,Bug-In vs. Bug-Out Basics: How to Choose the Safer Option,https://homeprotectionbasics.com/emergency-prep/bug-in-vs-bug-out-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/car-emergency-kit-basics.html,article,Car Emergency Kit Basics: What Every Vehicle Should Carry,https://homeprotectionbasics.com/emergency-prep/car-emergency-kit-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/chemical-spill-preparedness.html,article,Chemical Spill Preparedness: Protecting Your Home and Lungs,https://homeprotectionbasics.com/emergency-prep/chemical-spill-preparedness.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/communication-during-emergencies.html,article,Communication During Emergencies: Staying Connected When Systems Fail,https://homeprotectionbasics.com/emergency-prep/communication-during-emergencies.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/earthquake-preparedness-basics.html,article,Earthquake Preparedness Basics: What Homeowners Actually Need to Do,https://homeprotectionbasics.com/emergency-prep/earthquake-preparedness-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/emergency-bike-prep-basics.html,article,Emergency Bike Prep Basics: Turning a Bicycle Into a Real Backup Option,https://homeprotectionbasics.com/emergency-prep/emergency-bike-prep-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/emergency-cash-storage-basics.html,article,Emergency Cash Storage Basics: Keeping Money Accessible and Safe,https://homeprotectionbasics.com/emergency-prep/emergency-cash-storage-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/emergency-cooking-basics.html,article,Emergency Cooking Basics: Safe Ways to Heat Food During Outages,https://homeprotectionbasics.com/emergency-prep/emergency-cooking-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/emergency-heating-options.html,article,Emergency Heating Options: Staying Warm Without Power,https://homeprotectionbasics.com/emergency-prep/emergency-heating-options.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/emergency-radio-basics.html,article,Emergency Radio Basics: Staying Informed When the Grid Goes Down,https://homeprotectionbasics.com/emergency-prep/emergency-radio-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/emergency-sanitation-basics.html,article,Emergency Sanitation Basics: Staying Clean When the Water Stops,https://homeprotectionbasics.com/emergency-prep/emergency-sanitation-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/emergency-water-filtration-basics.html,article,Emergency Water Filtration Basics: Making Unsafe Water Drinkable,https://homeprotectionbasics.com/emergency-prep/emergency-water-filtration-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/evacuation-loading-priorities.html,article,Evacuation Loading Priorities: What to Grab First When Time Is Short,https://homeprotectionbasics.com/emergency-prep/evacuation-loading-priorities.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/evacuation-route-planning.html,article,Evacuation Route Planning: The Fastest Path Out When Every Second Counts,https://homeprotectionbasics.com/emergency-prep/evacuation-route-planning.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/extreme-cold-prep-basics.html,article,Extreme Cold Prep Basics: Staying Safe When Temperatures Plummet,https://homeprotectionbasics.com/emergency-prep/extreme-cold-prep-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/extreme-heat-prep-basics.html,article,Extreme Heat Prep Basics: Staying Safe When Temperatures Spike,https://homeprotectionbasics.com/emergency-prep/extreme-heat-prep-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/family-communication-plan-basics.html,article,Family Communication Plan Basics: Staying Connected During Emergencies,https://homeprotectionbasics.com/emergency-prep/family-communication-plan-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/flood-preparedness-basics.html,article,Flood Preparedness Basics: Protecting Your Home Before Waters Rise,https://homeprotectionbasics.com/emergency-prep/flood-preparedness-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/fuel-storage-safety-basics.html,article,Fuel Storage Safety Basics: Gas  Diesel  and Propane at Home,https://homeprotectionbasics.com/emergency-prep/fuel-storage-safety-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/go-bag-checklist.html,article,Go-Bag Checklist: What to Pack for Fast Evacuations,https://homeprotectionbasics.com/emergency-prep/go-bag-checklist.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/home-first-aid-kit-basics.html,article,Home First Aid Kit Basics: What You Actually Need,https://homeprotectionbasics.com/emergency-prep/home-first-aid-kit-basics.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
emergency-prep/home-hazard-identification.html,article,Home Hazard Identification: Spotting Risks Before They Hurt You,https://homeprotectionbasics.com/emergency-prep/home-hazard-identification.html,1,1,/style.css,True,standard,empty,standard,Article,False,False,root_relative,True
